id,Name,Address,Opening Hours,Phone number,FAX,Latitude,Longitude
1,North Regional Business Centre,"960 Gympie Rd, Chermside",Mon - Fri 8:30am - 4:45pm, 07  3403 8888,07 3407 0750,-27.380532,153.029466
2,South Regional Business Centre,"Sunnybank Hill Shoppingtown - 661 Compton Rd, Sunnybank Hills",Mon - Fri 8:30am - 4:45pm, 07  3403 8888,07 3407 0660,-27.61033,153.05557
3,East Regional Business Centre,"2 Millennium Blvd, Carindale",Mon - Fri 8:30am - 4:45pm, 07  3403 8888,07 3407 1551,-27.500373,153.102765
4,West Regional Business Centre,"70 Station Rd, Indooroopilly",Mon - Fri 8:30am - 4:45pm, 07  3403 8888,07 3407 0158,-27.501401,152.972367
5,Central Regional Business Centre,"Library and Customer Centre, 266 George St, Brisbane",Mon - Fri 9am - 5pm, 07  3403 8888,07 3407 2861,-27.470163,153.022342
